Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Studiengemeinschaft Darmstadt DE - migrated,http://www.sgd.de,"Telco's & Services",Career_and_Education/Education,880091,Germany - 91.41,Austria - 1.75,Switzerland - 1.34,Belgium - 0.80,Colombia - 0.75,156754,8053,4823
HostEurope DE - migrated,http://www.hosteurope.de,"Telco's & Services",Internet_and_Telecom/Web_Hosting,3498993,Germany - 80.20,Austria - 5.35,Switzerland - 2.84,Brazil - 1.15,Bosnia - 0.95,25069,1138,137
Flugladen.de - migrated,http://www.flugladen.de,Travel,Travel,1041916,Germany - 83.91,Austria - 1.83,United States - 1.64,Switzerland - 1.60,Netherlands - 0.92,84150,4708,1750
BestwesternPPS IT,http://www.bestwestern.it,Travel,Travel/Accommodation_and_Hotels,306936,Italy - 77.36,France - 4.12,Germany - 4.01,United States - 3.03,United Kingdom - 1.68,249896,8042,1151
Nixwieweg DE - migrated,http://www.nix-wie-weg.de,Travel,Travel/Tourism,591658,Germany - 91.11,Austria - 4.11,Switzerland - 2.67,Netherlands - 0.63,Turkey - 0.37,138560,7122,1356
Cheaptickets DE - migrated,http://www.cheaptickets.de,Travel,Travel,533138,Germany - 85.89,Switzerland - 1.89,Austria - 1.87,Netherlands - 1.48,United States - 1.35,143123,8176,2914
AllSaints DE: Migrated 16/11/2017,http://de.allsaints.com,Retail & Shopping,Unknown,98332,Germany - 80.07,Austria - 12.74,Switzerland - 3.12,Luxembourg - 1.67,Netherlands - 1.35,,,
Opodo IT: Migrated 22/01/2018,http://www.opodo.it,Travel,Travel/Tourism,596998,Italy - 87.87,Germany - 1.84,United States - 1.04,Switzerland - 0.89,Romania - 0.80,146414,4574,1458
shiny-online.ru,http://www.shiny-online.ru,Retail & Shopping,Business_and_Industry,1434,Russian Federation - 81.20,Kazakhstan - 9.82,Ukraine - 8.98,,,7304158,470216,1138244
hotels.com CH: Migrated 13/02/2018,http://de.hotels.com,Travel,Unknown,2666007,Germany - 90.07,Switzerland - 1.74,Romania - 0.89,Austria - 0.87,United States - 0.68,,,
MEDION AT - migrated,http://www.medion.com,Retail & Shopping,Shopping/Consumer_Electronics,5288030,Germany - 71.97,Netherlands - 6.24,Belgium - 4.55,Austria - 2.98,Spain - 2.03,21603,1098,199
hotels.com DE: Migrated 13/02/2018,http://deutsch.hotels.com,Travel,,,,,,,,,,
