Name,URL,Category,Similar Web Category,2 months visit,GEO top 1,GEO top 2,GEO top 3,GEO top 4,GEO top 5,Global Rank,Country Rank,Category Rank
Havens.co.uk,https://www.havens.co.uk,Home and garden,Shopping,40017,United Kingdom - 88.20,Canada - 6.37,United States - 2.73,Greece - 2.42,Russian Federation - 0.28,1659207,132579,115088
HEMA,https://www.hema.com,Department stores,Business_and_Industry,2143806,France - 41.14,Belgium - 31.30,Germany - 13.55,United Kingdom - 4.59,Netherlands - 2.62,37508,3160,2289
Heritage.pt,https://www.heritage.pt,Travel and holidays,Travel/Accommodation_and_Hotels,17356,Portugal - 77.98,Canada - 5.38,Netherlands - 4.08,Germany - 3.58,Spain - 2.85,3366976,42556,29627
Hipotels.com,https://www.hipotels.com,Travel and holidays,Travel,241882,Germany - 41.96,Spain - 27.23,United Kingdom - 7.63,Poland - 7.57,France - 2.13,357523,46872,7303
Holidaycars.com,http://www.holidaycars.com,Travel and holidays,Autos_and_Vehicles/Car_Rentals,1036570,United States - 18.14,Poland - 10.11,Netherlands - 7.79,United Kingdom - 6.93,Brazil - 5.54,112308,113166,66
Heydudeshoes.co.uk,http://www.heydudeshoes.co.uk,Fashion and jewelry,Shopping/Clothing,13738,United Kingdom - 67.53,Portugal - 11.04,Chile - 10.18,United States - 5.02,Croatia - 3.27,2644730,292935,23589
Holidayparkspecials.co.uk,http://www.holidayparkspecials.co.uk,Travel and holidays,Unknown,15223,United Kingdom - 56.43,Netherlands - 11.69,United States - 8.39,Israel - 6.85,Switzerland - 5.63,2581981,390115,
Hoteles-Costablanca.com,https://www.hoteles-costablanca.com,Travel and holidays,Travel/Accommodation_and_Hotels,131588,Spain - 91.15,Lithuania - 4.67,Iceland - 1.48,United Kingdom - 1.35,Ireland - 1.15,556752,17543,2753
Horze.co.uk,https://www.horze.co.uk,Animals,Pets_and_Animals/Horses,171197,United Kingdom - 80.60,United States - 3.74,Philippines - 2.26,Norway - 2.25,France - 2.17,551074,35318,137
Holidaysuites.be,https://www.holidaysuites.be,Travel and holidays,Travel/Accommodation_and_Hotels,121425,Belgium - 73.95,Netherlands - 15.37,France - 7.72,United Kingdom - 0.91,Germany - 0.82,630277,10178,3168
Hotelopia.com,https://www.hotelopia.com,Travel and holidays,Travel/Accommodation_and_Hotels,415900,Spain - 21.60,Germany - 18.27,United Kingdom - 14.09,United States - 4.25,France - 2.85,211078,17152,960
